CATEGORY NAME,RESTUARANT URL,DELIVERY RADIUS
"Rice, Pasta & Noodles",https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Tins, Jars & Packets",https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Oil, Sauces & Ingredients",https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Free From,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Vegan & Vegetarian,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Cleaning,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Laundry,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Toilet Roll, Kitchen Roll & Tissues",https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Baby,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Pet,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
E-Cigarettes & Tobacco,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Toiletries,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Health & Wellbeing,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Flowers,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Star Offers,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Back to School,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Summer Sizzlers,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Top Picks,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
✅ Price Matched to In-Store,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
☑️ Selected by Tesco,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Snacks & Treats,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Robinsons Fruit Ice,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Tango Ice Blast,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
F'real Milkshake,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Costa Coffee,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Dunkin' Donuts,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Flowers,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Bakery,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
